Name,Phone_1,Phone_2,Phone_3,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Dnata Travels - Kuwait City,+965 22454477,,,,Kuwait City,Capital Governorate,Kuwait,"An oasis on the coast of the Gulf, Kuwait is an attraction because of its breezy seaside location. Although diminutive in comparison to the countries which border it, Kuwait is rich in culture. It has many interesting museums as well as an attractive corniche with manicured sands and extravagant restaurants nearby. Visit dnata Travel in Kuwait and our multilingual staff will help you make the right choices for all your travel requirements. With over 50 years of experience and over 200 outlets...",,https://kuwaitlocal.com/business/dnata-travels-kuwait-city,,,,,
Faud Al Khaleej Hajj & Umrah Services - Salmiya,,,,Fuadalkhaleej@gmail.com,"Block 10,Salmiya",Hawalli Governorate,Kuwait,"We have weekly Umrah trips leaving Kuwait on Every Thursday, A/c Buses and accomodation in 4Star hotels and 500m from Haram trips starting from 17Jan 2013.. Managed by Hafiz Mohd Zaffer - Abu Fuad ( Well Experinced in this field) Call 99450572 Email: Fuadalkhaleej@gmail.com",,https://kuwaitlocal.com/business/faud-al-khaleej-hajj-umrah-services-salmiya,,,,,
TVS Travels and Cargo Fahaheel,+96597689099,+96523913309,+9659969249,,"Al Dabbous Building,block 7,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",http://tvshydergroup.com/,https://kuwaitlocal.com/business/tvs-travels-and-cargo-fahaheel,,,,,
Tvs Travel Agency Farwaniya,+96594962410,+9659465710,+96599992352,,"Block 1,Street 71 Opposite SAS Indian Restaurant,Farwaniya",Al Farwaniyah Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",https://tvshydergroup.com/,https://kuwaitlocal.com/business/tvs-travel-agency-farwaniya,https://www.facebook.com/fly.tvs.71,,https://www.linkedin.com/,,https://www.youtube.com/channel/UCk2veL4WMvYRvDT62xkqbJw
Badur Travel - Jleeb Al Shouyoukh,+965 24311122,,,,"Jleeb Co Op,Block 1,Jleeb Al-Shuyoukh",Al Farwaniyah Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,https://kuwaitlocal.com/business/badur-travel-jleeb-al-shouyoukh,,,,,
Badur Travel - Kuwait City,+965 22451555,,,,"Al Hilala Building,Al Soor Street,Block 10,Kuwait City",Capital Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,https://kuwaitlocal.com/business/badur-travel-kuwait-city,,,,,
Badur Travel - Salmiya,+965 25647770,,,,"Ground Floor,Sharifa Abdul Aziz Abdullah Building,Shop No. 35,Essa Al Qatami Street,Block 10,Salmiya",Hawalli Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,https://kuwaitlocal.com/business/badur-travel-salmiya,,,,,
Tvs Travel Agency Khaitan (Permanently closed),,,,,"Old Khaitan,Near New Pakistani School,Abraq Khaitan",Al Farwaniyah Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",https://tvshydergroup.com/,https://kuwaitlocal.com/business/tvs-travel-agency-khaitan,https://www.facebook.com/fly.tvs.71,,https://www.linkedin.com/,https://twitter.com/,https://www.youtube.com/channel/UCk2veL4WMvYRvDT62xkqbJw
TVS Travels and Cargo Mirqab,+96590026400,,,,"AL Taqqi Building Ground Floor, Near Round About Masjid , Mirqab ,Kuwait,Mirqab",Capital Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",http://tvshydergroup.com/,https://kuwaitlocal.com/business/tvs-travels-and-cargo-mirqab,,,,,
WTTS Travel And Tourism - Kuwait City 2,,,,,"Al Dawaliyah Complex,Ground Floor,Fahed Al Salem Street,Kuwait City",Capital Governorate,Kuwait,"As a leading travel management company, Al- Waseet Travel Services will handle all your travel requirements from A to Z. We will negotiate and assist you with corporate travel agreements, advise on travel policy, maintain a client profile, track your travel, adapt our accounting to suit yours and, of course, provide you with your own dedicated travel consultant(s). WTTS specializes in creating customized travel solutions for our corporate clients. Our goal is to offer a personal and professio...",http://www.alwaseettravel.com/,https://kuwaitlocal.com/business/wtts-travel-and-tourism-kuwait-city-2,https://www.facebook.com/wttscorp,,,https://twitter.com/alwaseettravel,
